[{'rouge-1': {'r': 0.65625, 'p': 0.7394366197183099, 'f': 0.6953642334283584}, 'rouge-2': {'r': 0.5737704918032787, 'p': 0.6542056074766355, 'f': 0.6113537068118459}, 'rouge-l': {'r': 0.65, 'p': 0.7323943661971831, 'f': 0.6887417168720671}}]
[{'rouge-1': {'r': 0.5267175572519084, 'p': 0.6448598130841121, 'f': 0.5798319278239531}, 'rouge-2': {'r': 0.33152173913043476, 'p': 0.37888198757763975, 'f': 0.35362318342801935}, 'rouge-l': {'r': 0.5190839694656488, 'p': 0.6355140186915887, 'f': 0.5714285664794153}}]
[{'rouge-1': {'r': 0.48148148148148145, 'p': 0.5909090909090909, 'f': 0.5306122399500208}, 'rouge-2': {'r': 0.35446685878962536, 'p': 0.44244604316546765, 'f': 0.39359999506094084}, 'rouge-l': {'r': 0.48148148148148145, 'p': 0.5909090909090909, 'f': 0.5306122399500208}}]
[{'rouge-1': {'r': 0.44206008583690987, 'p': 0.544973544973545, 'f': 0.48815165382212894}, 'rouge-2': {'r': 0.28532608695652173, 'p': 0.38321167883211676, 'f': 0.32710279884550814}, 'rouge-l': {'r': 0.4248927038626609, 'p': 0.5238095238095238, 'f': 0.46919430785056493}}]
[{'rouge-1': {'r': 0.5333333333333333, 'p': 0.632768361581921, 'f': 0.5788113645453999}, 'rouge-2': {'r': 0.3903225806451613, 'p': 0.4583333333333333, 'f': 0.42160278248855765}, 'rouge-l': {'r': 0.5285714285714286, 'p': 0.6271186440677966, 'f': 0.5736434058890693}}]
[{'rouge-1': {'r': 0.5317073170731708, 'p': 0.5860215053763441, 'f': 0.5575447520450548}, 'rouge-2': {'r': 0.45051194539249145, 'p': 0.4852941176470588, 'f': 0.4672566321750489}, 'rouge-l': {'r': 0.5317073170731708, 'p': 0.5860215053763441, 'f': 0.5575447520450548}}]
[{'rouge-1': {'r': 0.3006993006993007, 'p': 0.37719298245614036, 'f': 0.33463034525821744}, 'rouge-2': {'r': 0.13170731707317074, 'p': 0.16666666666666666, 'f': 0.14713895964629645}, 'rouge-l': {'r': 0.2867132867132867, 'p': 0.35964912280701755, 'f': 0.3190661429235871}}]
[{'rouge-1': {'r': 0.6975308641975309, 'p': 0.795774647887324, 'f': 0.7434210476532203}, 'rouge-2': {'r': 0.5914893617021276, 'p': 0.702020202020202, 'f': 0.6420323276000193}, 'rouge-l': {'r': 0.691358024691358, 'p': 0.7887323943661971, 'f': 0.7368421002847992}}]
[{'rouge-1': {'r': 0.42920353982300885, 'p': 0.5359116022099447, 'f': 0.47665847171959985}, 'rouge-2': {'r': 0.2905982905982906, 'p': 0.3938223938223938, 'f': 0.33442622462192967}, 'rouge-l': {'r': 0.415929203539823, 'p': 0.5193370165745856, 'f': 0.46191645697758515}}]
[{'rouge-1': {'r': 0.575107296137339, 'p': 0.67, 'f': 0.6189376393708431}, 'rouge-2': {'r': 0.4318766066838046, 'p': 0.5029940119760479, 'f': 0.4647302854853662}, 'rouge-l': {'r': 0.5708154506437768, 'p': 0.665, 'f': 0.6143187017265013}}]
[{'rouge-1': {'r': 0.5054945054945055, 'p': 0.4946236559139785, 'f': 0.49999999500059084}, 'rouge-2': {'r': 0.35476718403547675, 'p': 0.33472803347280333, 'f': 0.3444563997404991}, 'rouge-l': {'r': 0.5018315018315018, 'p': 0.4910394265232975, 'f': 0.49637680659479366}}]
[{'rouge-1': {'r': 0.4186046511627907, 'p': 0.5346534653465347, 'f': 0.46956521246540645}, 'rouge-2': {'r': 0.23204419889502761, 'p': 0.30656934306569344, 'f': 0.26415093849195054}, 'rouge-l': {'r': 0.4108527131782946, 'p': 0.5247524752475248, 'f': 0.4608695602914934}}]
[{'rouge-1': {'r': 0.5047619047619047, 'p': 0.6883116883116883, 'f': 0.5824175775359257}, 'rouge-2': {'r': 0.39855072463768115, 'p': 0.5612244897959183, 'f': 0.4661016900588912}, 'rouge-l': {'r': 0.5047619047619047, 'p': 0.6883116883116883, 'f': 0.5824175775359257}}]
[{'rouge-1': {'r': 0.5190476190476191, 'p': 0.5369458128078818, 'f': 0.5278450313210491}, 'rouge-2': {'r': 0.39002932551319647, 'p': 0.42765273311897106, 'f': 0.40797545513328504}, 'rouge-l': {'r': 0.5095238095238095, 'p': 0.5270935960591133, 'f': 0.5181598012968359}}]
[{'rouge-1': {'r': 0.48826291079812206, 'p': 0.6419753086419753, 'f': 0.5546666617591467}, 'rouge-2': {'r': 0.36227544910179643, 'p': 0.4959016393442623, 'f': 0.4186851162284935}, 'rouge-l': {'r': 0.460093896713615, 'p': 0.6049382716049383, 'f': 0.5226666617591468}}]
[{'rouge-1': {'r': 0.5, 'p': 0.671957671957672, 'f': 0.5733634262588854}, 'rouge-2': {'r': 0.40458015267175573, 'p': 0.5264900662251656, 'f': 0.4575539519202526}, 'rouge-l': {'r': 0.49606299212598426, 'p': 0.6666666666666666, 'f': 0.5688487535726552}}]
[{'rouge-1': {'r': 0.3151750972762646, 'p': 0.5031055900621118, 'f': 0.38755980387617045}, 'rouge-2': {'r': 0.19680851063829788, 'p': 0.3148936170212766, 'f': 0.24222585451340814}, 'rouge-l': {'r': 0.29961089494163423, 'p': 0.4782608695652174, 'f': 0.3684210478953092}}]
[{'rouge-1': {'r': 0.6573426573426573, 'p': 0.752, 'f': 0.701492532335988}, 'rouge-2': {'r': 0.5333333333333333, 'p': 0.6153846153846154, 'f': 0.5714285664540818}, 'rouge-l': {'r': 0.6363636363636364, 'p': 0.728, 'f': 0.6791044726344955}}]
[{'rouge-1': {'r': 0.4863636363636364, 'p': 0.5219512195121951, 'f': 0.5035294067709344}, 'rouge-2': {'r': 0.3194805194805195, 'p': 0.37846153846153846, 'f': 0.3464788682751439}, 'rouge-l': {'r': 0.4727272727272727, 'p': 0.5073170731707317, 'f': 0.48941175971211076}}]
[{'rouge-1': {'r': 0.5615384615384615, 'p': 0.7373737373737373, 'f': 0.6375545802444653}, 'rouge-2': {'r': 0.47674418604651164, 'p': 0.6307692307692307, 'f': 0.5430463527126004}, 'rouge-l': {'r': 0.5615384615384615, 'p': 0.7373737373737373, 'f': 0.6375545802444653}}]
[{'rouge-1': {'r': 0.4354243542435424, 'p': 0.5108225108225108, 'f': 0.4701195169440962}, 'rouge-2': {'r': 0.2986111111111111, 'p': 0.3573407202216066, 'f': 0.325346779403259}, 'rouge-l': {'r': 0.42066420664206644, 'p': 0.4935064935064935, 'f': 0.4541832619640165}}]
[{'rouge-1': {'r': 0.6238095238095238, 'p': 0.7005347593582888, 'f': 0.6599496171830289}, 'rouge-2': {'r': 0.47865853658536583, 'p': 0.5286195286195287, 'f': 0.5023999950123008}, 'rouge-l': {'r': 0.6190476190476191, 'p': 0.6951871657754011, 'f': 0.654911833807714}}]
[{'rouge-1': {'r': 0.6088709677419355, 'p': 0.6593886462882096, 'f': 0.6331236847353965}, 'rouge-2': {'r': 0.47058823529411764, 'p': 0.5, 'f': 0.4848484798530762}, 'rouge-l': {'r': 0.6088709677419355, 'p': 0.6593886462882096, 'f': 0.6331236847353965}}]
[{'rouge-1': {'r': 0.47435897435897434, 'p': 0.6727272727272727, 'f': 0.5563909725931371}, 'rouge-2': {'r': 0.31, 'p': 0.4626865671641791, 'f': 0.3712574802251784}, 'rouge-l': {'r': 0.46153846153846156, 'p': 0.6545454545454545, 'f': 0.5413533786081747}}]
[{'rouge-1': {'r': 0.3520408163265306, 'p': 0.5655737704918032, 'f': 0.43396225942170014}, 'rouge-2': {'r': 0.21739130434782608, 'p': 0.37142857142857144, 'f': 0.2742615987177091}, 'rouge-l': {'r': 0.336734693877551, 'p': 0.5409836065573771, 'f': 0.41509433489339825}}]
[{'rouge-1': {'r': 0.46733668341708545, 'p': 0.543859649122807, 'f': 0.5027026977313368}, 'rouge-2': {'r': 0.2866666666666667, 'p': 0.3628691983122363, 'f': 0.3202979466516859}, 'rouge-l': {'r': 0.44221105527638194, 'p': 0.5146198830409356, 'f': 0.47567567070430977}}]
[{'rouge-1': {'r': 0.5903614457831325, 'p': 0.7424242424242424, 'f': 0.6577181158704564}, 'rouge-2': {'r': 0.4909090909090909, 'p': 0.6428571428571429, 'f': 0.5567010260176427}, 'rouge-l': {'r': 0.5903614457831325, 'p': 0.7424242424242424, 'f': 0.6577181158704564}}]
[{'rouge-1': {'r': 0.40441176470588236, 'p': 0.4661016949152542, 'f': 0.43307086116684235}, 'rouge-2': {'r': 0.21025641025641026, 'p': 0.23563218390804597, 'f': 0.2222222172384164}, 'rouge-l': {'r': 0.3897058823529412, 'p': 0.4491525423728814, 'f': 0.4173228296707793}}]
[{'rouge-1': {'r': 0.5633187772925764, 'p': 0.6482412060301508, 'f': 0.6028037333423226}, 'rouge-2': {'r': 0.4484536082474227, 'p': 0.5132743362831859, 'f': 0.47867949983701935}, 'rouge-l': {'r': 0.537117903930131, 'p': 0.6180904522613065, 'f': 0.5747663501647524}}]
[{'rouge-1': {'r': 0.5393939393939394, 'p': 0.6137931034482759, 'f': 0.5741935434079085}, 'rouge-2': {'r': 0.46255506607929514, 'p': 0.5023923444976076, 'f': 0.48165137115531104}, 'rouge-l': {'r': 0.5333333333333333, 'p': 0.6068965517241379, 'f': 0.5677419305046827}}]
[{'rouge-1': {'r': 0.5, 'p': 0.6336633663366337, 'f': 0.5589519601350089}, 'rouge-2': {'r': 0.3446327683615819, 'p': 0.4295774647887324, 'f': 0.3824451361260208}, 'rouge-l': {'r': 0.4921875, 'p': 0.6237623762376238, 'f': 0.5502183356808604}}]
[{'rouge-1': {'r': 0.5771144278606966, 'p': 0.7204968944099379, 'f': 0.6408839729616008}, 'rouge-2': {'r': 0.4612794612794613, 'p': 0.5732217573221757, 'f': 0.5111940249092922}, 'rouge-l': {'r': 0.572139303482587, 'p': 0.7142857142857143, 'f': 0.6353591110831476}}]
[{'rouge-1': {'r': 0.44, 'p': 0.4954954954954955, 'f': 0.4661016899328498}, 'rouge-2': {'r': 0.29608938547486036, 'p': 0.32515337423312884, 'f': 0.3099415154787798}, 'rouge-l': {'r': 0.44, 'p': 0.4954954954954955, 'f': 0.4661016899328498}}]
[{'rouge-1': {'r': 0.4305555555555556, 'p': 0.6138613861386139, 'f': 0.5061224441336112}, 'rouge-2': {'r': 0.2878787878787879, 'p': 0.456, 'f': 0.3529411717259823}, 'rouge-l': {'r': 0.4166666666666667, 'p': 0.594059405940594, 'f': 0.4897959135213662}}]
[{'rouge-1': {'r': 0.578125, 'p': 0.6568047337278107, 'f': 0.6149584437737587}, 'rouge-2': {'r': 0.44984802431610943, 'p': 0.5138888888888888, 'f': 0.47974067573520646}, 'rouge-l': {'r': 0.5677083333333334, 'p': 0.6449704142011834, 'f': 0.6038781113637863}}]
[{'rouge-1': {'r': 0.45161290322580644, 'p': 0.6222222222222222, 'f': 0.5233644811075204}, 'rouge-2': {'r': 0.3312883435582822, 'p': 0.4778761061946903, 'f': 0.39130434299018063}, 'rouge-l': {'r': 0.43548387096774194, 'p': 0.6, 'f': 0.5046728923224737}}]
[{'rouge-1': {'r': 0.6979166666666666, 'p': 0.7613636363636364, 'f': 0.7282608645746693}, 'rouge-2': {'r': 0.656934306569343, 'p': 0.6923076923076923, 'f': 0.6741572983742232}, 'rouge-l': {'r': 0.6979166666666666, 'p': 0.7613636363636364, 'f': 0.7282608645746693}}]
[{'rouge-1': {'r': 0.55, 'p': 0.6346153846153846, 'f': 0.5892857093112246}, 'rouge-2': {'r': 0.43373493975903615, 'p': 0.5070422535211268, 'f': 0.46753246256282677}, 'rouge-l': {'r': 0.55, 'p': 0.6346153846153846, 'f': 0.5892857093112246}}]
[{'rouge-1': {'r': 0.43243243243243246, 'p': 0.5203252032520326, 'f': 0.47232471828978373}, 'rouge-2': {'r': 0.334841628959276, 'p': 0.37755102040816324, 'f': 0.3549160621642542}, 'rouge-l': {'r': 0.42567567567567566, 'p': 0.5121951219512195, 'f': 0.46494464448904566}}]
[{'rouge-1': {'r': 0.6090909090909091, 'p': 0.6907216494845361, 'f': 0.6473429901888026}, 'rouge-2': {'r': 0.49333333333333335, 'p': 0.5967741935483871, 'f': 0.540145980446481}, 'rouge-l': {'r': 0.6, 'p': 0.6804123711340206, 'f': 0.6376811544400104}}]
[{'rouge-1': {'r': 0.4931506849315068, 'p': 0.6101694915254238, 'f': 0.5454545405107899}, 'rouge-2': {'r': 0.3711340206185567, 'p': 0.45569620253164556, 'f': 0.4090909041432077}, 'rouge-l': {'r': 0.4794520547945205, 'p': 0.5932203389830508, 'f': 0.5303030253592746}}]
[{'rouge-1': {'r': 0.6043956043956044, 'p': 0.6547619047619048, 'f': 0.6285714235794286}, 'rouge-2': {'r': 0.5116279069767442, 'p': 0.5301204819277109, 'f': 0.5207100541731734}, 'rouge-l': {'r': 0.5989010989010989, 'p': 0.6488095238095238, 'f': 0.622857137865143}}]
[{'rouge-1': {'r': 0.5555555555555556, 'p': 0.7792207792207793, 'f': 0.6486486437890432}, 'rouge-2': {'r': 0.4868421052631579, 'p': 0.6981132075471698, 'f': 0.5736434060116581}, 'rouge-l': {'r': 0.5555555555555556, 'p': 0.7792207792207793, 'f': 0.6486486437890432}}]
[{'rouge-1': {'r': 0.42168674698795183, 'p': 0.5645161290322581, 'f': 0.4827586157945304}, 'rouge-2': {'r': 0.19130434782608696, 'p': 0.3142857142857143, 'f': 0.23783783313367426}, 'rouge-l': {'r': 0.39759036144578314, 'p': 0.532258064516129, 'f': 0.4551724088979786}}]
[{'rouge-1': {'r': 0.46551724137931033, 'p': 0.6, 'f': 0.5242718397398436}, 'rouge-2': {'r': 0.34444444444444444, 'p': 0.4479768786127168, 'f': 0.3894472312662559}, 'rouge-l': {'r': 0.45517241379310347, 'p': 0.5866666666666667, 'f': 0.5126213543029504}}]
[{'rouge-1': {'r': 0.6495726495726496, 'p': 0.7638190954773869, 'f': 0.7020785169726224}, 'rouge-2': {'r': 0.5644329896907216, 'p': 0.6576576576576577, 'f': 0.6074895928099554}, 'rouge-l': {'r': 0.6495726495726496, 'p': 0.7638190954773869, 'f': 0.7020785169726224}}]
[{'rouge-1': {'r': 0.4425531914893617, 'p': 0.6011560693641619, 'f': 0.509803916684088}, 'rouge-2': {'r': 0.37037037037037035, 'p': 0.49469964664310956, 'f': 0.42360060024700114}, 'rouge-l': {'r': 0.43829787234042555, 'p': 0.5953757225433526, 'f': 0.5049019558997743}}]
[{'rouge-1': {'r': 0.5989583333333334, 'p': 0.6764705882352942, 'f': 0.6353591110405666}, 'rouge-2': {'r': 0.4096774193548387, 'p': 0.4774436090225564, 'f': 0.44097221725139857}, 'rouge-l': {'r': 0.5833333333333334, 'p': 0.6588235294117647, 'f': 0.6187845254052075}}]
[{'rouge-1': {'r': 0.3592233009708738, 'p': 0.5362318840579711, 'f': 0.43023255333491084}, 'rouge-2': {'r': 0.18518518518518517, 'p': 0.27472527472527475, 'f': 0.22123893324261895}, 'rouge-l': {'r': 0.3592233009708738, 'p': 0.5362318840579711, 'f': 0.43023255333491084}}]
[{'rouge-1': {'r': 0.3006134969325153, 'p': 0.4260869565217391, 'f': 0.3525179807605714}, 'rouge-2': {'r': 0.13147410358565736, 'p': 0.2129032258064516, 'f': 0.16256157163423052}, 'rouge-l': {'r': 0.2822085889570552, 'p': 0.4, 'f': 0.3309352469476218}}]
[{'rouge-1': {'r': 0.5670103092783505, 'p': 0.6962025316455697, 'f': 0.6249999950522988}, 'rouge-2': {'r': 0.45161290322580644, 'p': 0.5714285714285714, 'f': 0.5045044995730866}, 'rouge-l': {'r': 0.5670103092783505, 'p': 0.6962025316455697, 'f': 0.6249999950522988}}]
[{'rouge-1': {'r': 0.475, 'p': 0.5277777777777778, 'f': 0.4999999950138505}, 'rouge-2': {'r': 0.3216374269005848, 'p': 0.36666666666666664, 'f': 0.342679122747256}, 'rouge-l': {'r': 0.45, 'p': 0.5, 'f': 0.47368420554016627}}]
[{'rouge-1': {'r': 0.4645669291338583, 'p': 0.5841584158415841, 'f': 0.517543854714143}, 'rouge-2': {'r': 0.3089887640449438, 'p': 0.4296875, 'f': 0.3594771193165023}, 'rouge-l': {'r': 0.44881889763779526, 'p': 0.5643564356435643, 'f': 0.4999999950650201}}]
[{'rouge-1': {'r': 0.524390243902439, 'p': 0.6056338028169014, 'f': 0.5620914982938187}, 'rouge-2': {'r': 0.41964285714285715, 'p': 0.5340909090909091, 'f': 0.469999995072}, 'rouge-l': {'r': 0.524390243902439, 'p': 0.6056338028169014, 'f': 0.5620914982938187}}]
[{'rouge-1': {'r': 0.4838709677419355, 'p': 0.6593406593406593, 'f': 0.5581395300015144}, 'rouge-2': {'r': 0.39375, 'p': 0.4921875, 'f': 0.4374999950617284}, 'rouge-l': {'r': 0.4838709677419355, 'p': 0.6593406593406593, 'f': 0.5581395300015144}}]
[{'rouge-1': {'r': 0.5754716981132075, 'p': 0.48412698412698413, 'f': 0.5258620640026754}, 'rouge-2': {'r': 0.4144736842105263, 'p': 0.37058823529411766, 'f': 0.3913043428417114}, 'rouge-l': {'r': 0.5754716981132075, 'p': 0.48412698412698413, 'f': 0.5258620640026754}}]
[{'rouge-1': {'r': 0.5166666666666667, 'p': 0.6262626262626263, 'f': 0.5662100407080755}, 'rouge-2': {'r': 0.3971830985915493, 'p': 0.4845360824742268, 'f': 0.4365325027890137}, 'rouge-l': {'r': 0.5125, 'p': 0.6212121212121212, 'f': 0.5616438306624132}}]
[{'rouge-1': {'r': 0.3987730061349693, 'p': 0.5701754385964912, 'f': 0.46931407457884244}, 'rouge-2': {'r': 0.21940928270042195, 'p': 0.31901840490797545, 'f': 0.25999999517112504}, 'rouge-l': {'r': 0.37423312883435583, 'p': 0.5350877192982456, 'f': 0.4404332081528497}}]
[{'rouge-1': {'r': 0.5242290748898678, 'p': 0.5613207547169812, 'f': 0.5421412250741747}, 'rouge-2': {'r': 0.37822349570200575, 'p': 0.3987915407854985, 'f': 0.3882352891211506}, 'rouge-l': {'r': 0.5110132158590308, 'p': 0.5471698113207547, 'f': 0.5284737991060653}}]
[{'rouge-1': {'r': 0.5477707006369427, 'p': 0.6370370370370371, 'f': 0.5890410909187934}, 'rouge-2': {'r': 0.4798387096774194, 'p': 0.569377990430622, 'f': 0.5207877412070924}, 'rouge-l': {'r': 0.5414012738853503, 'p': 0.6296296296296297, 'f': 0.5821917758503004}}]
[{'rouge-1': {'r': 0.4589041095890411, 'p': 0.5929203539823009, 'f': 0.517374512455688}, 'rouge-2': {'r': 0.31343283582089554, 'p': 0.4064516129032258, 'f': 0.35393257935314354}, 'rouge-l': {'r': 0.4383561643835616, 'p': 0.5663716814159292, 'f': 0.4942084892896648}}]
[{'rouge-1': {'r': 0.31683168316831684, 'p': 0.47761194029850745, 'f': 0.3809523761571712}, 'rouge-2': {'r': 0.12686567164179105, 'p': 0.2125, 'f': 0.15887849999126577}, 'rouge-l': {'r': 0.297029702970297, 'p': 0.44776119402985076, 'f': 0.3571428523476474}}]
[{'rouge-1': {'r': 0.5569620253164557, 'p': 0.624113475177305, 'f': 0.5886287575579693}, 'rouge-2': {'r': 0.4222222222222222, 'p': 0.46798029556650245, 'f': 0.44392522865807055}, 'rouge-l': {'r': 0.5569620253164557, 'p': 0.624113475177305, 'f': 0.5886287575579693}}]
[{'rouge-1': {'r': 0.4146341463414634, 'p': 0.536036036036036, 'f': 0.4675834921345834}, 'rouge-2': {'r': 0.2777777777777778, 'p': 0.38461538461538464, 'f': 0.3225806402913632}, 'rouge-l': {'r': 0.4076655052264808, 'p': 0.527027027027027, 'f': 0.45972494596562463}}]
[{'rouge-1': {'r': 0.5034965034965035, 'p': 0.6371681415929203, 'f': 0.5624999950686647}, 'rouge-2': {'r': 0.3553299492385787, 'p': 0.47619047619047616, 'f': 0.40697673929167794}, 'rouge-l': {'r': 0.4965034965034965, 'p': 0.6283185840707964, 'f': 0.5546874950686645}}]
[{'rouge-1': {'r': 0.45685279187817257, 'p': 0.6, 'f': 0.5187319835643516}, 'rouge-2': {'r': 0.31560283687943264, 'p': 0.4362745098039216, 'f': 0.3662551391617132}, 'rouge-l': {'r': 0.45685279187817257, 'p': 0.6, 'f': 0.5187319835643516}}]
[{'rouge-1': {'r': 0.4756756756756757, 'p': 0.6111111111111112, 'f': 0.5349544023724838}, 'rouge-2': {'r': 0.2968197879858657, 'p': 0.39436619718309857, 'f': 0.33870967251894185}, 'rouge-l': {'r': 0.4648648648648649, 'p': 0.5972222222222222, 'f': 0.5227963476612375}}]
[{'rouge-1': {'r': 0.6050156739811913, 'p': 0.7689243027888446, 'f': 0.6771929775273007}, 'rouge-2': {'r': 0.5277777777777778, 'p': 0.6658878504672897, 'f': 0.5888429702735469}, 'rouge-l': {'r': 0.5987460815047022, 'p': 0.7609561752988048, 'f': 0.6701754336676516}}]
[{'rouge-1': {'r': 0.5555555555555556, 'p': 0.6086956521739131, 'f': 0.580912858080956}, 'rouge-2': {'r': 0.44571428571428573, 'p': 0.484472049689441, 'f': 0.4642857092943949}, 'rouge-l': {'r': 0.5555555555555556, 'p': 0.6086956521739131, 'f': 0.580912858080956}}]
[{'rouge-1': {'r': 0.5097276264591439, 'p': 0.6359223300970874, 'f': 0.5658747250822648}, 'rouge-2': {'r': 0.3746898263027295, 'p': 0.45209580838323354, 'f': 0.4097693301862957}, 'rouge-l': {'r': 0.4980544747081712, 'p': 0.6213592233009708, 'f': 0.5529157617993273}}]
[{'rouge-1': {'r': 0.4777777777777778, 'p': 0.6370370370370371, 'f': 0.5460317411337869}, 'rouge-2': {'r': 0.37109375, 'p': 0.47738693467336685, 'f': 0.4175824126608864}, 'rouge-l': {'r': 0.4722222222222222, 'p': 0.6296296296296297, 'f': 0.5396825347845806}}]
[{'rouge-1': {'r': 0.42857142857142855, 'p': 0.65, 'f': 0.516556286601465}, 'rouge-2': {'r': 0.32421875, 'p': 0.515527950310559, 'f': 0.39808153003168695}, 'rouge-l': {'r': 0.4175824175824176, 'p': 0.6333333333333333, 'f': 0.5033112534888822}}]
[{'rouge-1': {'r': 0.5563380281690141, 'p': 0.6869565217391305, 'f': 0.6147859872730853}, 'rouge-2': {'r': 0.458128078817734, 'p': 0.5406976744186046, 'f': 0.4959999950341689}, 'rouge-l': {'r': 0.5492957746478874, 'p': 0.6782608695652174, 'f': 0.60700388610577}}]
[{'rouge-1': {'r': 0.4885245901639344, 'p': 0.5708812260536399, 'f': 0.5265017618146687}, 'rouge-2': {'r': 0.3167701863354037, 'p': 0.3660287081339713, 'f': 0.3396226365354564}, 'rouge-l': {'r': 0.4786885245901639, 'p': 0.5593869731800766, 'f': 0.5159010551008879}}]
[{'rouge-1': {'r': 0.4126984126984127, 'p': 0.5, 'f': 0.452173908089225}, 'rouge-2': {'r': 0.22162162162162163, 'p': 0.2789115646258503, 'f': 0.24698794687273196}, 'rouge-l': {'r': 0.373015873015873, 'p': 0.4519230769230769, 'f': 0.40869564721965984}}]
[{'rouge-1': {'r': 0.5418326693227091, 'p': 0.6601941747572816, 'f': 0.5951859906721124}, 'rouge-2': {'r': 0.4354066985645933, 'p': 0.5352941176470588, 'f': 0.48021107684713976}, 'rouge-l': {'r': 0.5338645418326693, 'p': 0.6504854368932039, 'f': 0.5864332554423531}}]
[{'rouge-1': {'r': 0.6, 'p': 0.6687898089171974, 'f': 0.6325301154966251}, 'rouge-2': {'r': 0.4679245283018868, 'p': 0.5414847161572053, 'f': 0.5020242865245292}, 'rouge-l': {'r': 0.5885714285714285, 'p': 0.6560509554140127, 'f': 0.6204819227255407}}]
[{'rouge-1': {'r': 0.44525547445255476, 'p': 0.5083333333333333, 'f': 0.4747081662281034}, 'rouge-2': {'r': 0.2727272727272727, 'p': 0.3355263157894737, 'f': 0.3008849508055099}, 'rouge-l': {'r': 0.4233576642335766, 'p': 0.48333333333333334, 'f': 0.45136186272615786}}]
[{'rouge-1': {'r': 0.582089552238806, 'p': 0.6782608695652174, 'f': 0.6265060191254981}, 'rouge-2': {'r': 0.4734042553191489, 'p': 0.5329341317365269, 'f': 0.5014084457217219}, 'rouge-l': {'r': 0.5746268656716418, 'p': 0.6695652173913044, 'f': 0.6184738906114418}}]
[{'rouge-1': {'r': 0.525, 'p': 0.65625, 'f': 0.5833333283950619}, 'rouge-2': {'r': 0.4175084175084175, 'p': 0.5560538116591929, 'f': 0.47692307202433437}, 'rouge-l': {'r': 0.515, 'p': 0.64375, 'f': 0.5722222172839508}}]
[{'rouge-1': {'r': 0.46, 'p': 0.5168539325842697, 'f': 0.4867724817894236}, 'rouge-2': {'r': 0.3197278911564626, 'p': 0.3715415019762846, 'f': 0.34369286522918774}, 'rouge-l': {'r': 0.45, 'p': 0.5056179775280899, 'f': 0.476190471207413}}]
[{'rouge-1': {'r': 0.5251798561151079, 'p': 0.8021978021978022, 'f': 0.6347826039134216}, 'rouge-2': {'r': 0.4486486486486487, 'p': 0.7155172413793104, 'f': 0.5514950118740413}, 'rouge-l': {'r': 0.5251798561151079, 'p': 0.8021978021978022, 'f': 0.6347826039134216}}]
[{'rouge-1': {'r': 0.4634146341463415, 'p': 0.6178861788617886, 'f': 0.5296167198407169}, 'rouge-2': {'r': 0.3406113537117904, 'p': 0.43820224719101125, 'f': 0.3832923783708927}, 'rouge-l': {'r': 0.45121951219512196, 'p': 0.6016260162601627, 'f': 0.5156794376107517}}]
[{'rouge-1': {'r': 0.6702127659574468, 'p': 0.7, 'f': 0.6847826036980151}, 'rouge-2': {'r': 0.5289256198347108, 'p': 0.5423728813559322, 'f': 0.5355648485572733}, 'rouge-l': {'r': 0.6595744680851063, 'p': 0.6888888888888889, 'f': 0.6739130384806239}}]
[{'rouge-1': {'r': 0.5027322404371585, 'p': 0.7131782945736435, 'f': 0.5897435848933679}, 'rouge-2': {'r': 0.3594306049822064, 'p': 0.505, 'f': 0.4199584151002114}, 'rouge-l': {'r': 0.4918032786885246, 'p': 0.6976744186046512, 'f': 0.5769230720728551}}]
[{'rouge-1': {'r': 0.4044943820224719, 'p': 0.5853658536585366, 'f': 0.47840531078155873}, 'rouge-2': {'r': 0.29435483870967744, 'p': 0.40555555555555556, 'f': 0.3411214904533148}, 'rouge-l': {'r': 0.398876404494382, 'p': 0.5772357723577236, 'f': 0.4717607925091335}}]
[{'rouge-1': {'r': 0.46, 'p': 0.5287356321839081, 'f': 0.4919786046498328}, 'rouge-2': {'r': 0.2222222222222222, 'p': 0.26548672566371684, 'f': 0.24193547891031486}, 'rouge-l': {'r': 0.43, 'p': 0.4942528735632184, 'f': 0.45989304315250656}}]
[{'rouge-1': {'r': 0.4246575342465753, 'p': 0.6038961038961039, 'f': 0.49865951257811103}, 'rouge-2': {'r': 0.3132183908045977, 'p': 0.48878923766816146, 'f': 0.38178633499443326}, 'rouge-l': {'r': 0.4246575342465753, 'p': 0.6038961038961039, 'f': 0.49865951257811103}}]
[{'rouge-1': {'r': 0.5869565217391305, 'p': 0.7481108312342569, 'f': 0.6578073040429527}, 'rouge-2': {'r': 0.4887573964497041, 'p': 0.5908440629470673, 'f': 0.5349740883089564}, 'rouge-l': {'r': 0.5849802371541502, 'p': 0.7455919395465995, 'f': 0.6555924646188109}}]
[{'rouge-1': {'r': 0.6296296296296297, 'p': 0.6538461538461539, 'f': 0.6415094289640443}, 'rouge-2': {'r': 0.47435897435897434, 'p': 0.5285714285714286, 'f': 0.4999999950146093}, 'rouge-l': {'r': 0.6296296296296297, 'p': 0.6538461538461539, 'f': 0.6415094289640443}}]
[{'rouge-1': {'r': 0.5631578947368421, 'p': 0.7379310344827587, 'f': 0.6388059652394742}, 'rouge-2': {'r': 0.43448275862068964, 'p': 0.6237623762376238, 'f': 0.5121951171111773}, 'rouge-l': {'r': 0.5631578947368421, 'p': 0.7379310344827587, 'f': 0.6388059652394742}}]
