[{'rouge-1': {'r': 0.3473684210526316, 'p': 0.4583333333333333, 'f': 0.39520957593316364}, 'rouge-2': {'r': 0.1984732824427481, 'p': 0.26804123711340205, 'f': 0.22807017054978465}, 'rouge-l': {'r': 0.3368421052631579, 'p': 0.4444444444444444, 'f': 0.38323352802897204}}]
[{'rouge-1': {'r': 0.6363636363636364, 'p': 0.6950354609929078, 'f': 0.6644067746707268}, 'rouge-2': {'r': 0.5283842794759825, 'p': 0.5601851851851852, 'f': 0.5438202197233684}, 'rouge-l': {'r': 0.6233766233766234, 'p': 0.6808510638297872, 'f': 0.6508474526368285}}]
[{'rouge-1': {'r': 0.4, 'p': 0.627906976744186, 'f': 0.4886877780512275}, 'rouge-2': {'r': 0.2611111111111111, 'p': 0.39166666666666666, 'f': 0.3133333285333334}, 'rouge-l': {'r': 0.3851851851851852, 'p': 0.6046511627906976, 'f': 0.4705882305399153}}]
[{'rouge-1': {'r': 0.49142857142857144, 'p': 0.5695364238410596, 'f': 0.5276073569902896}, 'rouge-2': {'r': 0.3543307086614173, 'p': 0.39823008849557523, 'f': 0.3749999950170139}, 'rouge-l': {'r': 0.4742857142857143, 'p': 0.5496688741721855, 'f': 0.5092024490148295}}]
[{'rouge-1': {'r': 0.44387755102040816, 'p': 0.6258992805755396, 'f': 0.5194029802193808}, 'rouge-2': {'r': 0.2808219178082192, 'p': 0.3886255924170616, 'f': 0.32604373270421216}, 'rouge-l': {'r': 0.42857142857142855, 'p': 0.60431654676259, 'f': 0.5014925324581867}}]
[{'rouge-1': {'r': 0.47058823529411764, 'p': 0.4931506849315068, 'f': 0.481605346173309}, 'rouge-2': {'r': 0.3105022831050228, 'p': 0.3541666666666667, 'f': 0.3309002383305806}, 'rouge-l': {'r': 0.45751633986928103, 'p': 0.4794520547945205, 'f': 0.46822741975190435}}]
[{'rouge-1': {'r': 0.5517241379310345, 'p': 0.6114649681528662, 'f': 0.580060417973914}, 'rouge-2': {'r': 0.43243243243243246, 'p': 0.46473029045643155, 'f': 0.4479999950064801}, 'rouge-l': {'r': 0.5459770114942529, 'p': 0.6050955414012739, 'f': 0.5740181219014066}}]
[{'rouge-1': {'r': 0.379746835443038, 'p': 0.7317073170731707, 'f': 0.49999999550138896}, 'rouge-2': {'r': 0.2736842105263158, 'p': 0.5652173913043478, 'f': 0.3687943218449776}, 'rouge-l': {'r': 0.379746835443038, 'p': 0.7317073170731707, 'f': 0.49999999550138896}}]
[{'rouge-1': {'r': 0.6842105263157895, 'p': 0.6842105263157895, 'f': 0.6842105213157895}, 'rouge-2': {'r': 0.5387596899224806, 'p': 0.5582329317269076, 'f': 0.5483234664019702}, 'rouge-l': {'r': 0.6842105263157895, 'p': 0.6842105263157895, 'f': 0.6842105213157895}}]
[{'rouge-1': {'r': 0.5571428571428572, 'p': 0.6782608695652174, 'f': 0.6117647009304115}, 'rouge-2': {'r': 0.46408839779005523, 'p': 0.5384615384615384, 'f': 0.4985163155022938}, 'rouge-l': {'r': 0.55, 'p': 0.6695652173913044, 'f': 0.6039215636755095}}]
[{'rouge-1': {'r': 0.4095238095238095, 'p': 0.46236559139784944, 'f': 0.4343434293617998}, 'rouge-2': {'r': 0.24812030075187969, 'p': 0.2796610169491525, 'f': 0.26294820218917164}, 'rouge-l': {'r': 0.4095238095238095, 'p': 0.46236559139784944, 'f': 0.4343434293617998}}]
[{'rouge-1': {'r': 0.4050632911392405, 'p': 0.463768115942029, 'f': 0.43243242745525934}, 'rouge-2': {'r': 0.2, 'p': 0.24050632911392406, 'f': 0.218390799639979}, 'rouge-l': {'r': 0.379746835443038, 'p': 0.43478260869565216, 'f': 0.40540540042823237}}]
[{'rouge-1': {'r': 0.4594594594594595, 'p': 0.4857142857142857, 'f': 0.4722222172260803}, 'rouge-2': {'r': 0.25773195876288657, 'p': 0.29411764705882354, 'f': 0.2747252697470113}, 'rouge-l': {'r': 0.40540540540540543, 'p': 0.42857142857142855, 'f': 0.41666666167052474}}]
[{'rouge-1': {'r': 0.609375, 'p': 0.8297872340425532, 'f': 0.7027026978199823}, 'rouge-2': {'r': 0.5, 'p': 0.7068965517241379, 'f': 0.5857142808612246}, 'rouge-l': {'r': 0.609375, 'p': 0.8297872340425532, 'f': 0.7027026978199823}}]
[{'rouge-1': {'r': 0.4928571428571429, 'p': 0.6160714285714286, 'f': 0.5476190426807761}, 'rouge-2': {'r': 0.3487179487179487, 'p': 0.4755244755244755, 'f': 0.40236685902366864}, 'rouge-l': {'r': 0.4857142857142857, 'p': 0.6071428571428571, 'f': 0.5396825347442682}}]
[{'rouge-1': {'r': 0.4520547945205479, 'p': 0.5739130434782609, 'f': 0.5057471215073179}, 'rouge-2': {'r': 0.33668341708542715, 'p': 0.46853146853146854, 'f': 0.3918128606311344}, 'rouge-l': {'r': 0.4520547945205479, 'p': 0.5739130434782609, 'f': 0.5057471215073179}}]
[{'rouge-1': {'r': 0.6776859504132231, 'p': 0.6666666666666666, 'f': 0.6721311425413197}, 'rouge-2': {'r': 0.5892857142857143, 'p': 0.5689655172413793, 'f': 0.5789473634225917}, 'rouge-l': {'r': 0.6694214876033058, 'p': 0.6585365853658537, 'f': 0.6639344212298443}}]
[{'rouge-1': {'r': 0.3333333333333333, 'p': 0.43243243243243246, 'f': 0.3764705833190312}, 'rouge-2': {'r': 0.16030534351145037, 'p': 0.25609756097560976, 'f': 0.1971830938561574}, 'rouge-l': {'r': 0.3020833333333333, 'p': 0.3918918918918919, 'f': 0.34117646567197235}}]
[{'rouge-1': {'r': 0.7303921568627451, 'p': 0.7525252525252525, 'f': 0.7412935273394223}, 'rouge-2': {'r': 0.6160714285714286, 'p': 0.6489028213166145, 'f': 0.6320610637056583}, 'rouge-l': {'r': 0.7303921568627451, 'p': 0.7525252525252525, 'f': 0.7412935273394223}}]
[{'rouge-1': {'r': 0.4430379746835443, 'p': 0.5511811023622047, 'f': 0.4912280652345953}, 'rouge-2': {'r': 0.3090909090909091, 'p': 0.384180790960452, 'f': 0.3425692645800684}, 'rouge-l': {'r': 0.4430379746835443, 'p': 0.5511811023622047, 'f': 0.4912280652345953}}]
[{'rouge-1': {'r': 0.43529411764705883, 'p': 0.6324786324786325, 'f': 0.5156794376792241}, 'rouge-2': {'r': 0.368, 'p': 0.5139664804469274, 'f': 0.4289044240413821}, 'rouge-l': {'r': 0.43529411764705883, 'p': 0.6324786324786325, 'f': 0.5156794376792241}}]
[{'rouge-1': {'r': 0.5384615384615384, 'p': 0.6363636363636364, 'f': 0.5833333283680556}, 'rouge-2': {'r': 0.4755244755244755, 'p': 0.5483870967741935, 'f': 0.5093632909054695}, 'rouge-l': {'r': 0.5288461538461539, 'p': 0.625, 'f': 0.572916661701389}}]
[{'rouge-1': {'r': 0.5, 'p': 0.5984848484848485, 'f': 0.5448275812470869}, 'rouge-2': {'r': 0.36752136752136755, 'p': 0.46236559139784944, 'f': 0.40952380458911564}, 'rouge-l': {'r': 0.5, 'p': 0.5984848484848485, 'f': 0.5448275812470869}}]
[{'rouge-1': {'r': 0.4074074074074074, 'p': 0.4489795918367347, 'f': 0.4271844610311999}, 'rouge-2': {'r': 0.29583333333333334, 'p': 0.3397129186602871, 'f': 0.31625834691693006}, 'rouge-l': {'r': 0.4012345679012346, 'p': 0.4421768707482993, 'f': 0.42071196912181485}}]
[{'rouge-1': {'r': 0.5, 'p': 0.7096774193548387, 'f': 0.586666661816889}, 'rouge-2': {'r': 0.40350877192982454, 'p': 0.5348837209302325, 'f': 0.45999999509799994}, 'rouge-l': {'r': 0.4659090909090909, 'p': 0.6612903225806451, 'f': 0.5466666618168888}}]
[{'rouge-1': {'r': 0.4909090909090909, 'p': 0.7043478260869566, 'f': 0.5785714237308675}, 'rouge-2': {'r': 0.40350877192982454, 'p': 0.6052631578947368, 'f': 0.48421052151578947}, 'rouge-l': {'r': 0.4909090909090909, 'p': 0.7043478260869566, 'f': 0.5785714237308675}}]
[{'rouge-1': {'r': 0.5794392523364486, 'p': 0.7294117647058823, 'f': 0.6458333283989801}, 'rouge-2': {'r': 0.5, 'p': 0.6542056074766355, 'f': 0.5668016145224476}, 'rouge-l': {'r': 0.5794392523364486, 'p': 0.7294117647058823, 'f': 0.6458333283989801}}]
[{'rouge-1': {'r': 0.5555555555555556, 'p': 0.6329113924050633, 'f': 0.5917159713525438}, 'rouge-2': {'r': 0.4166666666666667, 'p': 0.48034934497816595, 'f': 0.4462474595282433}, 'rouge-l': {'r': 0.5388888888888889, 'p': 0.6139240506329114, 'f': 0.573964492062603}}]
[{'rouge-1': {'r': 0.5585585585585585, 'p': 0.6391752577319587, 'f': 0.5961538411764977}, 'rouge-2': {'r': 0.45517241379310347, 'p': 0.4583333333333333, 'f': 0.4567473998443506}, 'rouge-l': {'r': 0.5585585585585585, 'p': 0.6391752577319587, 'f': 0.5961538411764977}}]
[{'rouge-1': {'r': 0.5714285714285714, 'p': 0.7022900763358778, 'f': 0.6301369813541471}, 'rouge-2': {'r': 0.43829787234042555, 'p': 0.6058823529411764, 'f': 0.5086419704374334}, 'rouge-l': {'r': 0.5590062111801242, 'p': 0.6870229007633588, 'f': 0.6164383512171608}}]
[{'rouge-1': {'r': 0.45871559633027525, 'p': 0.5376344086021505, 'f': 0.49504949998186454}, 'rouge-2': {'r': 0.3181818181818182, 'p': 0.3929824561403509, 'f': 0.35164834670366635}, 'rouge-l': {'r': 0.44954128440366975, 'p': 0.5268817204301075, 'f': 0.4851485098828547}}]
[{'rouge-1': {'r': 0.5446428571428571, 'p': 0.6815642458100558, 'f': 0.605459052134303}, 'rouge-2': {'r': 0.4230769230769231, 'p': 0.5542635658914729, 'f': 0.47986576690216665}, 'rouge-l': {'r': 0.5446428571428571, 'p': 0.6815642458100558, 'f': 0.605459052134303}}]
[{'rouge-1': {'r': 0.21428571428571427, 'p': 0.2222222222222222, 'f': 0.21818181318347118}, 'rouge-2': {'r': 0.07352941176470588, 'p': 0.08333333333333333, 'f': 0.07812499501953157}, 'rouge-l': {'r': 0.21428571428571427, 'p': 0.2222222222222222, 'f': 0.21818181318347118}}]
[{'rouge-1': {'r': 0.4574468085106383, 'p': 0.5308641975308642, 'f': 0.49142856645616323}, 'rouge-2': {'r': 0.29838709677419356, 'p': 0.3592233009708738, 'f': 0.3259911844701043}, 'rouge-l': {'r': 0.4148936170212766, 'p': 0.48148148148148145, 'f': 0.4457142807418775}}]
[{'rouge-1': {'r': 0.54421768707483, 'p': 0.54421768707483, 'f': 0.5442176820748301}, 'rouge-2': {'r': 0.44285714285714284, 'p': 0.42857142857142855, 'f': 0.435597184696894}, 'rouge-l': {'r': 0.5238095238095238, 'p': 0.5238095238095238, 'f': 0.5238095188095239}}]
[{'rouge-1': {'r': 0.3888888888888889, 'p': 0.37404580152671757, 'f': 0.38132295220033613}, 'rouge-2': {'r': 0.2122905027932961, 'p': 0.21468926553672316, 'f': 0.21348314106757366}, 'rouge-l': {'r': 0.35714285714285715, 'p': 0.3435114503816794, 'f': 0.35019454753107543}}]
[{'rouge-1': {'r': 0.32116788321167883, 'p': 0.36666666666666664, 'f': 0.34241244638374546}, 'rouge-2': {'r': 0.125, 'p': 0.1377245508982036, 'f': 0.13105412606586006}, 'rouge-l': {'r': 0.2773722627737226, 'p': 0.31666666666666665, 'f': 0.2957198393798544}}]
[{'rouge-1': {'r': 0.3805970149253731, 'p': 0.49514563106796117, 'f': 0.43037974192098843}, 'rouge-2': {'r': 0.2578947368421053, 'p': 0.3202614379084967, 'f': 0.28571428077246735}, 'rouge-l': {'r': 0.3656716417910448, 'p': 0.47572815533980584, 'f': 0.4135021047901868}}]
[{'rouge-1': {'r': 0.3722627737226277, 'p': 0.51, 'f': 0.43037974195730744}, 'rouge-2': {'r': 0.21195652173913043, 'p': 0.3, 'f': 0.24840763845997815}, 'rouge-l': {'r': 0.3357664233576642, 'p': 0.46, 'f': 0.38818564913030323}}]
[{'rouge-1': {'r': 0.5305466237942122, 'p': 0.7366071428571429, 'f': 0.6168224250387633}, 'rouge-2': {'r': 0.4484848484848485, 'p': 0.6434782608695652, 'f': 0.5285714237308673}, 'rouge-l': {'r': 0.5273311897106109, 'p': 0.7321428571428571, 'f': 0.6130841072817539}}]
[{'rouge-1': {'r': 0.5163398692810458, 'p': 0.5096774193548387, 'f': 0.512987007987224}, 'rouge-2': {'r': 0.3220338983050847, 'p': 0.3179916317991632, 'f': 0.3199999950001995}, 'rouge-l': {'r': 0.48366013071895425, 'p': 0.4774193548387097, 'f': 0.48051947551969143}}]
[{'rouge-1': {'r': 0.3248407643312102, 'p': 0.42857142857142855, 'f': 0.36956521248608487}, 'rouge-2': {'r': 0.20833333333333334, 'p': 0.28846153846153844, 'f': 0.24193547900104065}, 'rouge-l': {'r': 0.3248407643312102, 'p': 0.42857142857142855, 'f': 0.36956521248608487}}]
[{'rouge-1': {'r': 0.7378048780487805, 'p': 0.7857142857142857, 'f': 0.7610062843131206}, 'rouge-2': {'r': 0.65748031496063, 'p': 0.7106382978723405, 'f': 0.6830265798746242}, 'rouge-l': {'r': 0.7378048780487805, 'p': 0.7857142857142857, 'f': 0.7610062843131206}}]
[{'rouge-1': {'r': 0.45108695652173914, 'p': 0.50920245398773, 'f': 0.4783861621652867}, 'rouge-2': {'r': 0.3187250996015936, 'p': 0.36363636363636365, 'f': 0.3397027551065854}, 'rouge-l': {'r': 0.44565217391304346, 'p': 0.5030674846625767, 'f': 0.4726224734044797}}]
[{'rouge-1': {'r': 0.6153846153846154, 'p': 0.6486486486486487, 'f': 0.6315789423718837}, 'rouge-2': {'r': 0.5521472392638037, 'p': 0.5769230769230769, 'f': 0.5642633178864201}, 'rouge-l': {'r': 0.6153846153846154, 'p': 0.6486486486486487, 'f': 0.6315789423718837}}]
[{'rouge-1': {'r': 0.746268656716418, 'p': 0.8, 'f': 0.7722007672068097}, 'rouge-2': {'r': 0.6345177664974619, 'p': 0.7225433526011561, 'f': 0.6756756706967131}, 'rouge-l': {'r': 0.746268656716418, 'p': 0.8, 'f': 0.7722007672068097}}]
[{'rouge-1': {'r': 0.4117647058823529, 'p': 0.5283018867924528, 'f': 0.4628099124322109}, 'rouge-2': {'r': 0.26744186046511625, 'p': 0.32857142857142857, 'f': 0.2948717899243919}, 'rouge-l': {'r': 0.38235294117647056, 'p': 0.49056603773584906, 'f': 0.42975206119254156}}]
[{'rouge-1': {'r': 0.5670731707317073, 'p': 0.6326530612244898, 'f': 0.5980707345647792}, 'rouge-2': {'r': 0.425, 'p': 0.4722222222222222, 'f': 0.44736841606648203}, 'rouge-l': {'r': 0.5487804878048781, 'p': 0.6122448979591837, 'f': 0.5787781300631716}}]
[{'rouge-1': {'r': 0.6146788990825688, 'p': 0.7362637362637363, 'f': 0.6699999950405}, 'rouge-2': {'r': 0.5670731707317073, 'p': 0.6788321167883211, 'f': 0.6179401943757795}, 'rouge-l': {'r': 0.6055045871559633, 'p': 0.7252747252747253, 'f': 0.6599999950405001}}]
[{'rouge-1': {'r': 0.5, 'p': 0.65, 'f': 0.5652173863894141}, 'rouge-2': {'r': 0.41626794258373206, 'p': 0.5403726708074534, 'f': 0.4702702653544193}, 'rouge-l': {'r': 0.4807692307692308, 'p': 0.625, 'f': 0.5434782559546314}}]
[{'rouge-1': {'r': 0.41732283464566927, 'p': 0.42063492063492064, 'f': 0.41897232701588843}, 'rouge-2': {'r': 0.29714285714285715, 'p': 0.2694300518134715, 'f': 0.2826086906641364}, 'rouge-l': {'r': 0.3858267716535433, 'p': 0.3888888888888889, 'f': 0.38735177365620466}}]
[{'rouge-1': {'r': 0.5398773006134969, 'p': 0.5906040268456376, 'f': 0.5641025591126315}, 'rouge-2': {'r': 0.3898305084745763, 'p': 0.45098039215686275, 'f': 0.41818181320826453}, 'rouge-l': {'r': 0.5398773006134969, 'p': 0.5906040268456376, 'f': 0.5641025591126315}}]
[{'rouge-1': {'r': 0.48760330578512395, 'p': 0.6781609195402298, 'f': 0.5673076874412907}, 'rouge-2': {'r': 0.3972602739726027, 'p': 0.5555555555555556, 'f': 0.46325878108049484}, 'rouge-l': {'r': 0.4834710743801653, 'p': 0.6724137931034483, 'f': 0.5624999951335985}}]
[{'rouge-1': {'r': 0.4206896551724138, 'p': 0.5126050420168067, 'f': 0.4621212071697085}, 'rouge-2': {'r': 0.2935323383084577, 'p': 0.3619631901840491, 'f': 0.32417581923031646}, 'rouge-l': {'r': 0.41379310344827586, 'p': 0.5042016806722689, 'f': 0.45454544959395093}}]
[{'rouge-1': {'r': 0.5263157894736842, 'p': 0.6293706293706294, 'f': 0.5732484026830703}, 'rouge-2': {'r': 0.4246031746031746, 'p': 0.5245098039215687, 'f': 0.46929824066943676}, 'rouge-l': {'r': 0.5263157894736842, 'p': 0.6293706293706294, 'f': 0.5732484026830703}}]
[{'rouge-1': {'r': 0.6292134831460674, 'p': 0.6511627906976745, 'f': 0.6399999950014694}, 'rouge-2': {'r': 0.5432098765432098, 'p': 0.528, 'f': 0.5354969524046592}, 'rouge-l': {'r': 0.6123595505617978, 'p': 0.6337209302325582, 'f': 0.6228571378586124}}]
[{'rouge-1': {'r': 0.4078014184397163, 'p': 0.5180180180180181, 'f': 0.4563492014200681}, 'rouge-2': {'r': 0.3095823095823096, 'p': 0.3684210526315789, 'f': 0.336448593168497}, 'rouge-l': {'r': 0.40070921985815605, 'p': 0.509009009009009, 'f': 0.4484126934835602}}]
[{'rouge-1': {'r': 0.5416666666666666, 'p': 0.8024691358024691, 'f': 0.6467661643424668}, 'rouge-2': {'r': 0.46835443037974683, 'p': 0.7184466019417476, 'f': 0.5670498036511502}, 'rouge-l': {'r': 0.5416666666666666, 'p': 0.8024691358024691, 'f': 0.6467661643424668}}]
[{'rouge-1': {'r': 0.45664739884393063, 'p': 0.572463768115942, 'f': 0.5080385802723297}, 'rouge-2': {'r': 0.35802469135802467, 'p': 0.44387755102040816, 'f': 0.3963553481324817}, 'rouge-l': {'r': 0.45664739884393063, 'p': 0.572463768115942, 'f': 0.5080385802723297}}]
[{'rouge-1': {'r': 0.5052083333333334, 'p': 0.6928571428571428, 'f': 0.5843373445202498}, 'rouge-2': {'r': 0.40298507462686567, 'p': 0.5837837837837838, 'f': 0.4768211872208334}, 'rouge-l': {'r': 0.5, 'p': 0.6857142857142857, 'f': 0.5783132481347075}}]
[{'rouge-1': {'r': 0.4782608695652174, 'p': 0.5339805825242718, 'f': 0.5045871509784531}, 'rouge-2': {'r': 0.35714285714285715, 'p': 0.4230769230769231, 'f': 0.38732393869767906}, 'rouge-l': {'r': 0.4782608695652174, 'p': 0.5339805825242718, 'f': 0.5045871509784531}}]
[{'rouge-1': {'r': 0.4424778761061947, 'p': 0.5882352941176471, 'f': 0.5050505001504949}, 'rouge-2': {'r': 0.26973684210526316, 'p': 0.39805825242718446, 'f': 0.32156862263560176}, 'rouge-l': {'r': 0.415929203539823, 'p': 0.5529411764705883, 'f': 0.4747474698474646}}]
[{'rouge-1': {'r': 0.5082872928176796, 'p': 0.6216216216216216, 'f': 0.5592705117676298}, 'rouge-2': {'r': 0.37777777777777777, 'p': 0.49514563106796117, 'f': 0.4285714236618177}, 'rouge-l': {'r': 0.5027624309392266, 'p': 0.6148648648648649, 'f': 0.5531914844120066}}]
[{'rouge-1': {'r': 0.5030674846625767, 'p': 0.5774647887323944, 'f': 0.5377049130564904}, 'rouge-2': {'r': 0.4017094017094017, 'p': 0.4563106796116505, 'f': 0.42727272229297525}, 'rouge-l': {'r': 0.49693251533742333, 'p': 0.5704225352112676, 'f': 0.5311475360073099}}]
[{'rouge-1': {'r': 0.4623115577889447, 'p': 0.5822784810126582, 'f': 0.515406157530934}, 'rouge-2': {'r': 0.36298932384341637, 'p': 0.46788990825688076, 'f': 0.40881763035023955}, 'rouge-l': {'r': 0.457286432160804, 'p': 0.5759493670886076, 'f': 0.5098039166345755}}]
[{'rouge-1': {'r': 0.39285714285714285, 'p': 0.4177215189873418, 'f': 0.4049079704648275}, 'rouge-2': {'r': 0.2631578947368421, 'p': 0.2813852813852814, 'f': 0.27196652220225487}, 'rouge-l': {'r': 0.36904761904761907, 'p': 0.3924050632911392, 'f': 0.380368093164214}}]
[{'rouge-1': {'r': 0.6090225563909775, 'p': 0.680672268907563, 'f': 0.642857137872575}, 'rouge-2': {'r': 0.4789473684210526, 'p': 0.5384615384615384, 'f': 0.5069637833179444}, 'rouge-l': {'r': 0.6090225563909775, 'p': 0.680672268907563, 'f': 0.642857137872575}}]
[{'rouge-1': {'r': 0.6615384615384615, 'p': 0.6417910447761194, 'f': 0.6515151465162994}, 'rouge-2': {'r': 0.574468085106383, 'p': 0.574468085106383, 'f': 0.5744680801063831}, 'rouge-l': {'r': 0.6538461538461539, 'p': 0.6343283582089553, 'f': 0.6439393889405418}}]
[{'rouge-1': {'r': 0.3917525773195876, 'p': 0.4810126582278481, 'f': 0.4318181768704804}, 'rouge-2': {'r': 0.2647058823529412, 'p': 0.3564356435643564, 'f': 0.3037974634634763}, 'rouge-l': {'r': 0.3711340206185567, 'p': 0.45569620253164556, 'f': 0.4090909041432077}}]
[{'rouge-1': {'r': 0.5748502994011976, 'p': 0.5962732919254659, 'f': 0.5853658486602099}, 'rouge-2': {'r': 0.4534412955465587, 'p': 0.49122807017543857, 'f': 0.47157894237642106}, 'rouge-l': {'r': 0.5688622754491018, 'p': 0.5900621118012422, 'f': 0.5792682876846}}]
[{'rouge-1': {'r': 0.4967741935483871, 'p': 0.5661764705882353, 'f': 0.5292096170144425}, 'rouge-2': {'r': 0.37104072398190047, 'p': 0.4581005586592179, 'f': 0.409999995055125}, 'rouge-l': {'r': 0.49032258064516127, 'p': 0.5588235294117647, 'f': 0.5223367647807655}}]
[{'rouge-1': {'r': 0.4657534246575342, 'p': 0.5573770491803278, 'f': 0.5074626816072623}, 'rouge-2': {'r': 0.2895927601809955, 'p': 0.3742690058479532, 'f': 0.3265306073262443}, 'rouge-l': {'r': 0.4315068493150685, 'p': 0.5163934426229508, 'f': 0.4701492487714414}}]
[{'rouge-1': {'r': 0.6690140845070423, 'p': 0.8482142857142857, 'f': 0.7480314911327423}, 'rouge-2': {'r': 0.5665024630541872, 'p': 0.777027027027027, 'f': 0.6552706503934222}, 'rouge-l': {'r': 0.6690140845070423, 'p': 0.8482142857142857, 'f': 0.7480314911327423}}]
[{'rouge-1': {'r': 0.43820224719101125, 'p': 0.5454545454545454, 'f': 0.4859813034706573}, 'rouge-2': {'r': 0.2823529411764706, 'p': 0.36180904522613067, 'f': 0.3171806118161618}, 'rouge-l': {'r': 0.42134831460674155, 'p': 0.5244755244755245, 'f': 0.46728971468561065}}]
[{'rouge-1': {'r': 0.2809917355371901, 'p': 0.2982456140350877, 'f': 0.28936169713209603}, 'rouge-2': {'r': 0.13095238095238096, 'p': 0.1476510067114094, 'f': 0.13880125684761535}, 'rouge-l': {'r': 0.2727272727272727, 'p': 0.2894736842105263, 'f': 0.2808510588342237}}]
[{'rouge-1': {'r': 0.6342857142857142, 'p': 0.7602739726027398, 'f': 0.691588780087538}, 'rouge-2': {'r': 0.5635593220338984, 'p': 0.6785714285714286, 'f': 0.6157407357836078}, 'rouge-l': {'r': 0.6342857142857142, 'p': 0.7602739726027398, 'f': 0.691588780087538}}]
[{'rouge-1': {'r': 0.37333333333333335, 'p': 0.4772727272727273, 'f': 0.4189526135285229}, 'rouge-2': {'r': 0.2195845697329377, 'p': 0.296, 'f': 0.25212946700080396}, 'rouge-l': {'r': 0.36444444444444446, 'p': 0.4659090909090909, 'f': 0.4089775511843832}}]
[{'rouge-1': {'r': 0.5067567567567568, 'p': 0.6410256410256411, 'f': 0.5660377309174796}, 'rouge-2': {'r': 0.41626794258373206, 'p': 0.5370370370370371, 'f': 0.46900269049803484}, 'rouge-l': {'r': 0.49324324324324326, 'p': 0.6239316239316239, 'f': 0.5509433912948382}}]
[{'rouge-1': {'r': 0.42081447963800905, 'p': 0.5502958579881657, 'f': 0.4769230720119659}, 'rouge-2': {'r': 0.2976190476190476, 'p': 0.3861003861003861, 'f': 0.3361344488652497}, 'rouge-l': {'r': 0.416289592760181, 'p': 0.5443786982248521, 'f': 0.47179486688376077}}]
[{'rouge-1': {'r': 0.49038461538461536, 'p': 0.6538461538461539, 'f': 0.5604395555416014}, 'rouge-2': {'r': 0.3779527559055118, 'p': 0.4948453608247423, 'f': 0.4285714236611129}, 'rouge-l': {'r': 0.4807692307692308, 'p': 0.6410256410256411, 'f': 0.5494505445525903}}]
[{'rouge-1': {'r': 0.3652173913043478, 'p': 0.5454545454545454, 'f': 0.43749999519585503}, 'rouge-2': {'r': 0.22818791946308725, 'p': 0.35789473684210527, 'f': 0.2786885198350578}, 'rouge-l': {'r': 0.34782608695652173, 'p': 0.5194805194805194, 'f': 0.4166666618625217}}]
[{'rouge-1': {'r': 0.484375, 'p': 0.5502958579881657, 'f': 0.5152354520840081}, 'rouge-2': {'r': 0.31636363636363635, 'p': 0.3686440677966102, 'f': 0.3405088012913554}, 'rouge-l': {'r': 0.46875, 'p': 0.5325443786982249, 'f': 0.49861495346904966}}]
[{'rouge-1': {'r': 0.4567901234567901, 'p': 0.5285714285714286, 'f': 0.49006622019209684}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.40106951871657753, 'f': 0.36407766494544724}, 'rouge-l': {'r': 0.4444444444444444, 'p': 0.5142857142857142, 'f': 0.47682118707951404}}]
[{'rouge-1': {'r': 0.5925449871465296, 'p': 0.7305863708399366, 'f': 0.6543647927833088}, 'rouge-2': {'r': 0.48405466970387245, 'p': 0.6084466714387974, 'f': 0.5391690404184518}, 'rouge-l': {'r': 0.589974293059126, 'p': 0.7274167987321711, 'f': 0.6515258999515132}}]
[{'rouge-1': {'r': 0.37254901960784315, 'p': 0.3064516129032258, 'f': 0.3362831808880884}, 'rouge-2': {'r': 0.22857142857142856, 'p': 0.21333333333333335, 'f': 0.2206896501783592}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.27419354838709675, 'f': 0.3008849507995928}}]
[{'rouge-1': {'r': 0.6792452830188679, 'p': 0.7605633802816901, 'f': 0.7176079684378759}, 'rouge-2': {'r': 0.5483870967741935, 'p': 0.6153846153846154, 'f': 0.5799573510933302}, 'rouge-l': {'r': 0.6792452830188679, 'p': 0.7605633802816901, 'f': 0.7176079684378759}}]
[{'rouge-1': {'r': 0.45, 'p': 0.5142857142857142, 'f': 0.47999999502222224}, 'rouge-2': {'r': 0.3547008547008547, 'p': 0.38967136150234744, 'f': 0.37136464825488347}, 'rouge-l': {'r': 0.4375, 'p': 0.5, 'f': 0.46666666168888893}}]
[{'rouge-1': {'r': 0.5195530726256983, 'p': 0.6078431372549019, 'f': 0.5602409588860866}, 'rouge-2': {'r': 0.38461538461538464, 'p': 0.49528301886792453, 'f': 0.432989685800744}, 'rouge-l': {'r': 0.5139664804469274, 'p': 0.6013071895424836, 'f': 0.5542168625005445}}]
[{'rouge-1': {'r': 0.5901639344262295, 'p': 0.7128712871287128, 'f': 0.6457399053582418}, 'rouge-2': {'r': 0.5123456790123457, 'p': 0.6587301587301587, 'f': 0.576388883967014}, 'rouge-l': {'r': 0.5901639344262295, 'p': 0.7128712871287128, 'f': 0.6457399053582418}}]
[{'rouge-1': {'r': 0.5798816568047337, 'p': 0.7368421052631579, 'f': 0.6490066175876058}, 'rouge-2': {'r': 0.4788135593220339, 'p': 0.5947368421052631, 'f': 0.5305164269831825}, 'rouge-l': {'r': 0.5798816568047337, 'p': 0.7368421052631579, 'f': 0.6490066175876058}}]
